Utbildningsanordnare, administrativ enhet;Administrativ enhet, besöksadress;Administrativ enhet, postadress;Administrativ enhet, postnummer;Administrativ enhet, postort;Administrativ enhet, e-post;Telefonnummer;Utbildningsnummer;Utbildningsnamn;Studieort;Studieform;Status;Beviljade platser;Antal Studerande
Hvilan Utbildning AB;Kabbarpsvägen 126;Kabbarpsvägen 126;23252;Åkarp;info@hvilanutbildning.se;040-463700;YH00982;Arborist;Staffanstorp;Bunden;Beviljat;24;
Hvilan Utbildning AB;Kabbarpsvägen 126;Kabbarpsvägen 126;23252;Åkarp;info@hvilanutbildning.se;040-463700;YH01513;Praktisk skogs- och naturvårdare ;Åkarp;Bunden;Beviljat;20;
Hvilan Utbildning AB;Kabbarpsvägen 126;Kabbarpsvägen 126;23252;Åkarp;info@hvilanutbildning.se;040-463700;YH01955;Trädgårdsmästare – odling, förädling och entreprenörskap;Staffanstorp;Bunden;Startat;24;24
Hyper Island Program AB - Karlskrona;Bastionsgatan 8;Bastionsgatan 8;37132;Karlskrona;myhinfo@hyperisland.com;0455-307777;YH00600;Business Developer;Karlshamn, Karlskrona;Distans;Beviljat;35;
Hyper Island Program AB - Karlskrona;Bastionsgatan 8;Bastionsgatan 8;37132;Karlskrona;myhinfo@hyperisland.com;0455-307777;YH01237;UX Design;Karlshamn, Karlskrona;Distans;Startat;110;61
Hyper Island Program AB - Karlskrona;Bastionsgatan 8;Bastionsgatan 8;37132;Karlskrona;myhinfo@hyperisland.com;0455-307777;YH01255;Business Development - Digitalization & Sustainability;Karlshamn, Karlskrona;Distans;Startat;110;38
Hyper Island Program AB - Stockholm;Virkesvägen 2;Virkesvägen 2;12030;Stockholm;myhinfo@hyperisland.com;08-7443050;YH00500;Content Developer;Stockholm;Bunden;Beviljat;35;
Hyper Island Program AB - Stockholm;Virkesvägen 2;Virkesvägen 2;12030;Stockholm;myhinfo@hyperisland.com;08-7443050;YH00502;Motion Creative;Stockholm;Bunden;Beviljat;35;
Hyper Island Program AB - Stockholm;Virkesvägen 2;Virkesvägen 2;12030;Stockholm;myhinfo@hyperisland.com;08-7443050;YH00548;Data Analyst;Stockholm;Bunden;Beviljat;35;
Hyper Island Program AB - Stockholm;Virkesvägen 2;Virkesvägen 2;12030;Stockholm;myhinfo@hyperisland.com;08-7443050;YH00608;Digital Creative;Stockholm;Bunden;Beviljat;35;
Hyper Island Program AB - Stockholm;Virkesvägen 2;Virkesvägen 2;12030;Stockholm;myhinfo@hyperisland.com;08-7443050;YH00794;Frontend Developer;Stockholm;Bunden;Beviljat;35;
Hyper Island Program AB - Stockholm;Virkesvägen 2;Virkesvägen 2;12030;Stockholm;myhinfo@hyperisland.com;08-7443050;YH02507;Data Analytics;Stockholm;Distans;Startat;100;54
Hyper Island Program AB - Stockholm;Virkesvägen 2;Virkesvägen 2;12030;Stockholm;myhinfo@hyperisland.com;08-7443050;YH02696;Product Manager;Stockholm;Bunden;Beviljat;35;
Hälsohögskolan i Jönköping AB;Barnarpsgatan 39;Box 1026;55111;Jönköping;annica.herentz-brobakken@ju.se;722236141;YH00428;Stödpedagog inom funktionshinderområdet;Oskarshamn, Värnamo;Distans;Beviljat;35;
Hälsohögskolan i Jönköping AB;Barnarpsgatan 39;Box 1026;55111;Jönköping;annica.herentz-brobakken@ju.se;722236141;YH00565;Ortopedtekniker;Jönköping;Distans;Beviljat;30;
Härnösands kommun, Yrkeshögskolan;Arbetslivsförvaltningen YH Heta Utbildningar;Härnösands kommun YH Heta Utbildningar;87180;Härnösand;info@hetautbildningar.se;0611-348000;YH00028;Driftingenjör Elkraft;Härnösand;Distans;Beviljat;20;
Härnösands kommun, Yrkeshögskolan;Arbetslivsförvaltningen YH Heta Utbildningar;Härnösands kommun YH Heta Utbildningar;87180;Härnösand;info@hetautbildningar.se;0611-348000;YH00644;Certifierad kyl- och värmepumptekniker inriktning energieffektiva system;Härnösand;Distans;Beviljat;20;
Härnösands kommun, Yrkeshögskolan;Arbetslivsförvaltningen YH Heta Utbildningar;Härnösands kommun YH Heta Utbildningar;87180;Härnösand;info@hetautbildningar.se;0611-348000;YH00988;Underhållsingenjör;Härnösand;Distans;Beviljat;20;
Härnösands kommun, Yrkeshögskolan;Arbetslivsförvaltningen YH Heta Utbildningar;Härnösands kommun YH Heta Utbildningar;87180;Härnösand;info@hetautbildningar.se;0611-348000;YH01927;Stadsodlare;Härnösand;Distans;Beviljat;20;
Härryda kommun, Yrkeshögskolan i Mölnlycke;Långenäsvägen 5;Härryda kommun;43580;Mölnlycke;anette.ambren@harryda.se;031-7246660;YH00049;Tullspecialist (CCS);Mölnlycke;Bunden;Startat;34;45
Härryda kommun, Yrkeshögskolan i Mölnlycke;Långenäsvägen 5;Härryda kommun;43580;Mölnlycke;anette.ambren@harryda.se;031-7246660;YH00104;Lönespecialist;Mölnlycke;Bunden;Startat;35;44
Hässleholms kommun, Yrkeshögskolan Syd;Stobygatan 13;Hässleholms kommun Arbetsmarknadsförvaltningen YHS;28180;Hässleholm;kansli.yhs@hassleholm.se;0451-268581;YH00140;Automationsingenjör;Hässleholm;Bunden;Beviljat;24;
Hässleholms kommun, Yrkeshögskolan Syd;Stobygatan 13;Hässleholms kommun Arbetsmarknadsförvaltningen YHS;28180;Hässleholm;kansli.yhs@hassleholm.se;0451-268581;YH00268;Tågtekniker;Hässleholm;Bunden;Beviljat;20;
Hässleholms kommun, Yrkeshögskolan Syd;Stobygatan 13;Hässleholms kommun Arbetsmarknadsförvaltningen YHS;28180;Hässleholm;kansli.yhs@hassleholm.se;0451-268581;YH00506;Byggnadsingenjör - produktionledning;Hässleholm;Bunden;Beviljat;26;
Hässleholms kommun, Yrkeshögskolan Syd;Stobygatan 13;Hässleholms kommun Arbetsmarknadsförvaltningen YHS;28180;Hässleholm;kansli.yhs@hassleholm.se;0451-268581;YH00507;Entreprenadingenjör - kalkyl, inköp, hållbar planering;Hässleholm;Bunden;Beviljat;22;
Hässleholms kommun, Yrkeshögskolan Syd;Stobygatan 13;Hässleholms kommun Arbetsmarknadsförvaltningen YHS;28180;Hässleholm;kansli.yhs@hassleholm.se;0451-268581;YH00517;Elkraftsingenjör - projektering och beredning;Hässleholm;Bunden;Beviljat;15;
Hässleholms kommun, Yrkeshögskolan Syd;Stobygatan 13;Hässleholms kommun Arbetsmarknadsförvaltningen YHS;28180;Hässleholm;kansli.yhs@hassleholm.se;0451-268581;YH00518;Elingenjör - elkonstruktör;Hässleholm;Bunden;Beviljat;25;
Hässleholms kommun, Yrkeshögskolan Syd;Stobygatan 13;Hässleholms kommun Arbetsmarknadsförvaltningen YHS;28180;Hässleholm;kansli.yhs@hassleholm.se;0451-268581;YH00922;Arbetsledare anläggning;Hässleholm;Distans;Beviljat;20;
Högskolan Väst;Gustava Melins gata 2;Gustava Melins gata 2;46132;Trollhättan;registrator@hv.se;0520-223000;YH01942;Specialist inom svetsautomation;Trollhättan;Bunden;Beviljat;20;
Högskolan Väst;Gustava Melins gata 2;Gustava Melins gata 2;46132;Trollhättan;registrator@hv.se;0520-223000;YH01995;Elkrafttekniker, inriktning hållbara elsystem;Trollhättan;Bunden;Beviljat;30;
Idéutvecklarna AB;Bettorpsgatan 10;Bettorpsgatan 10;70369;Örebro;info@yhsky.se;105855850;YH00826;Congress, Conference & Meeting Professional - PCO;Göteborg, Jönköping, Norrköping, Örebro;Distans;Beviljat;35;
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH00097;Digital Analytics Specialist;Göteborg;Bunden;Beviljat;35;
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH00106;International Account Manager;Göteborg;Bunden;Beviljat;35;
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH00108;Account Manager Digital Solutions;Göteborg;Bunden;Beviljat;35;
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH00145;Konceptutvecklare Event och Besöksnäring;Göteborg;Bunden;Beviljat;35;
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH00231;Ekonomi- och redovisningskonsult;Göteborg;Bunden;Beviljat;35;
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH00654;Public Bid Manager;Göteborg, Malmö, Stockholm;Distans;Beviljat;35;
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH01155;Digital Marketing Specialist ;Göteborg;Bunden;Beviljat;35;
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH01409;Revenue Management för besöksnäringen;Göteborg;Distans;Startat;120;44
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH01646;Digital & Social Selling;Göteborg;Distans;Startat;80;47
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH01701;Visual Merchandiser - Unified Commerce;Göteborg, Stockholm;Bunden;Beviljat;35;
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH01852;Cirkulär affärsutveckling;Malmö;Distans;Startat;120;63
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH01864;E-Commerce Supply & Demand Chain;Göteborg;Distans;Startat;120;42
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH01866;E-Commerce B2B;Göteborg;Distans;Startat;80;48
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH01887;Martech & Demand Generation;Göteborg;Distans;Startat;170;63
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH01889;AI-driven marknadsföring och kommunikation;Stockholm;Distans;Startat;200;76
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH01901;Digitalisering och hållbarhet inom redovisning;Malmö;Distans;Startat;80;43
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH01905;Digitalisering och hållbarhet inom HR;Stockholm;Distans;Startat;100;58
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH02061;Data Storytelling & Visualization;Stockholm;Distans;Startat;200;74
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH02115;Affärsstödjande hållbarhetsanalys;Malmö;Distans;Startat;170;62
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH02233;Customer Insights & Engagement;Stockholm;Distans;Startat;150;59
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH02296;Social Commerce;Göteborg;Distans;Startat;120;49
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH02484;Social media marketing;Göteborg;Distans;Startat;140;52
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH02505;Datamodellering & BI-plattformar;Göteborg;Distans;Startat;120;52
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH02506;AI-driven hållbarhetsutveckling;Göteborg;Distans;Startat;120;45
IHM Business School AB Göteborg;Fabriksgatan 21-25;Box 5273;40225;Göteborg;maria.dagermo@ihm.se;031-335 20 00;YH02512;Customer Experience Management;Stockholm;Distans;Startat;210;72
IHM Business School AB Malmö;Norra Vallgatan 102;Norra Vallgatan 102;21121;Malmö;maria.dagermo@ihm.se;040-601 23 00;YH00087;E-Commerce Manager;Malmö;Bunden;Beviljat;35;
IHM Business School AB Malmö;Norra Vallgatan 102;Norra Vallgatan 102;21121;Malmö;maria.dagermo@ihm.se;040-601 23 00;YH00107;Account Manager Digital Solutions;Malmö;Bunden;Beviljat;35;
IHM Business School AB Malmö;Norra Vallgatan 102;Norra Vallgatan 102;21121;Malmö;maria.dagermo@ihm.se;040-601 23 00;YH00230;Ekonomi- och redovisningskonsult ;Malmö;Bunden;Beviljat;35;
IHM Business School AB Malmö;Norra Vallgatan 102;Norra Vallgatan 102;21121;Malmö;maria.dagermo@ihm.se;040-601 23 00;YH00694;Account Manager B2B;Malmö;Bunden;Startat;35;41
IHM Business School AB Malmö;Norra Vallgatan 102;Norra Vallgatan 102;21121;Malmö;maria.dagermo@ihm.se;040-601 23 00;YH00784;Agil projektledare;Göteborg, Malmö, Stockholm;Distans;Beviljat;35;
IHM Business School AB Malmö;Norra Vallgatan 102;Norra Vallgatan 102;21121;Malmö;maria.dagermo@ihm.se;040-601 23 00;YH01090;E-Commerce Logistiker ;Malmö;Bunden;Beviljat;35;
IHM Business School AB Malmö;Norra Vallgatan 102;Norra Vallgatan 102;21121;Malmö;maria.dagermo@ihm.se;040-601 23 00;YH01551;Visual Merchandiser - Unified Commerce;Malmö;Bunden;Beviljat;35;
IHM Business School AB Malmö;Norra Vallgatan 102;Norra Vallgatan 102;21121;Malmö;maria.dagermo@ihm.se;040-601 23 00;YH01700;Key Account Manager;Göteborg, Malmö, Stockholm;Distans;Startat;35;54
IHM Business School AB Malmö;Norra Vallgatan 102;Norra Vallgatan 102;21121;Malmö;maria.dagermo@ihm.se;040-601 23 00;YH01982;Marknadskommunikatör - Digitala medier;Göteborg, Malmö, Stockholm;Distans;Beviljat;35;
IHM Business School AB Malmö;Norra Vallgatan 102;Norra Vallgatan 102;21121;Malmö;maria.dagermo@ihm.se;040-601 23 00;YH01983;Konceptutvecklare Event och besöksnäring;Kalmar, Vimmerby;Distans;Beviljat;35;
IHM Business School AB Stockholm;Warfvinges Väg 39;Warfvinges Väg 39;10425;Stockholm;maria.dagermo@ihm.se;08-657 00 00;YH00089;E-Commerce Manager ;Stockholm;Bunden;Beviljat;35;
IHM Business School AB Stockholm;Warfvinges Väg 39;Warfvinges Väg 39;10425;Stockholm;maria.dagermo@ihm.se;08-657 00 00;YH00105;Account Manager B2B;Stockholm;Bunden;Beviljat;35;
IHM Business School AB Stockholm;Warfvinges Väg 39;Warfvinges Väg 39;10425;Stockholm;maria.dagermo@ihm.se;08-657 00 00;YH00627;Digital Marketing Specialist;Stockholm;Bunden;Beviljat;35;
IHM Business School AB Stockholm;Warfvinges Väg 39;Warfvinges Väg 39;10425;Stockholm;maria.dagermo@ihm.se;08-657 00 00;YH00662;E-Commerce Logistiker;Stockholm;Bunden;Beviljat;35;
IHM Business School AB Stockholm;Warfvinges Väg 39;Warfvinges Väg 39;10425;Stockholm;maria.dagermo@ihm.se;08-657 00 00;YH00692;International Account Manager;Stockholm;Bunden;Startat;35;42
IHM Business School AB Stockholm;Warfvinges Väg 39;Warfvinges Väg 39;10425;Stockholm;maria.dagermo@ihm.se;08-657 00 00;YH01702;Customer Experience Specialist;Stockholm;Bunden;Beviljat;35;
IHM Business School AB Stockholm;Warfvinges Väg 39;Warfvinges Väg 39;10425;Stockholm;maria.dagermo@ihm.se;08-657 00 00;YH01710;Customer Data Developer;Stockholm;Bunden;Beviljat;35;
IHM Business School AB Stockholm;Warfvinges Väg 39;Warfvinges Väg 39;10425;Stockholm;maria.dagermo@ihm.se;08-657 00 00;YH02006;Digital Marketing Specialist;Luleå, Piteå, Umeå;Bunden;Beviljat;35;
IHM Business School AB Stockholm;Warfvinges Väg 39;Warfvinges Väg 39;10425;Stockholm;maria.dagermo@ihm.se;08-657 00 00;YH02436;Account Manager B2B;Luleå, Umeå;Bunden;Startat;35;47
Inredningskurser Sverige AB ;Järavallsvägen 80;Järavallsvägen 80;23733;Bjärred;anna@inredningskurser.se;705918891;YH02653;Inredningsdesigner;Malmö;Distans;Beviljat;30;
Inredningskurser Sverige AB ;Järavallsvägen 80;Järavallsvägen 80;23733;Bjärred;anna@inredningskurser.se;705918891;YH02653;Inredningsdesigner;Malmö;Distans;Startat;30;40
Institutet för Högre Urmakeriutbildning i Norden AB;Luxorgatan 1;Luxorgatan 1;59139;Motala;info@urmakarskolan.com;0141-23 93 10;YH00655;Urmakare;Motala;Bunden;Beviljat;12;
INSU AB;Teknikgången 6;Teknikgången 6;61138;Nyköping;yh@insu.se;010-1883570;YH00711;Kalkylator VVS;Nyköping;Distans;Beviljat;35;
INSU AB;Teknikgången 6;Teknikgången 6;61138;Nyköping;yh@insu.se;010-1883570;YH01005;Projektledare VVS;Nyköping;Distans;Beviljat;35;
INSU AB;Teknikgången 6;Teknikgången 6;61138;Nyköping;yh@insu.se;010-1883570;YH01048;Kyl- och värmepumptekniker;Katrineholm;Distans;Beviljat;35;
INSU AB;Teknikgången 6;Teknikgången 6;61138;Nyköping;yh@insu.se;010-1883570;YH01213;Elteknikingenjör med AL;Nyköping;Distans;Beviljat;35;
INSU AB;Teknikgången 6;Teknikgången 6;61138;Nyköping;yh@insu.se;010-1883570;YH01296;Installationssamordning;Nyköping;Distans;Startat;35;27
INSU AB;Teknikgången 6;Teknikgången 6;61138;Nyköping;yh@insu.se;010-1883570;YH01470;Auktoriserad Elinstallatör;Nyköping;Distans;Beviljat;35;
INSU AB;Teknikgången 6;Teknikgången 6;61138;Nyköping;yh@insu.se;010-1883570;YH01684;Ventilationsinjustering;Katrineholm;Distans;Startat;35;13
INSU AB;Teknikgången 6;Teknikgången 6;61138;Nyköping;yh@insu.se;010-1883570;YH01938;Projektledare Kyla;Nyköping;Distans;Beviljat;35;
INSU AB;Teknikgången 6;Teknikgången 6;61138;Nyköping;yh@insu.se;010-1883570;YH02046;Projektledare El;Nyköping;Distans;Beviljat;35;
INSU AB;Teknikgången 6;Teknikgången 6;61138;Nyköping;yh@insu.se;010-1883570;YH02522;Projektering av högspänningsanläggningar;Nyköping;Distans;Startat;50;39
Internationella Handelshögskolan i Jönköping Aktiebolag (IHH);Gjuterigatan 5;Box 1026;55111;Jönköping;martin.wallin@ju.se;036-101000;YH00132;Medicinsk vårdadministratör;Jönköping;Bunden;Beviljat;35;
IRC Ljungby AB;Garvaren;Garvaren;34160;Ljungby;info@ircyh.se;0372-780010;YH00951;Servicetekniker - industri & automation;Ljungby;Bunden;Beviljat;15;
IRC Ljungby AB;Garvaren;Garvaren;34160;Ljungby;info@ircyh.se;0372-780010;YH01711;IT-infrastrukturtekniker - moln & säkerhet;Ljungby;Bunden;Beviljat;20;
IRC Ljungby AB;Garvaren;Garvaren;34160;Ljungby;info@ircyh.se;0372-780010;YH02418;Hydraultekniker - Fluida System;Ljungby;Bunden;Beviljat;15;
Iris Hadar AB;Lövholmsvägen 18;Lövholmsvägen 18;11743;Stockholm;christer.ivarssonosterberg@irisgruppen.se;08-39 92 00;YH02726;Stödpedagog inom funktionshinderområdet;Jokkmokk, Stockholm;Distans;Beviljat;30;
Iterum Education AB;Tulegatan 41;c/o Mediainstitutet;11353;Stockholm;linda.iterum@elevera.org;08-675 07 70;YH00082;Lönespecialist med systeminriktning;Stockholm;Distans;Startat;35;44
Iterum Education AB;Tulegatan 41;c/o Mediainstitutet;11353;Stockholm;linda.iterum@elevera.org;08-675 07 70;YH00228;Redovisningsekonom;Stockholm;Distans;Startat;35;41
Iterum Education AB;Tulegatan 41;c/o Mediainstitutet;11353;Stockholm;linda.iterum@elevera.org;08-675 07 70;YH00697;Lönespecialist;Östersund;Distans;Beviljat;35;
Iterum Education AB;Tulegatan 41;c/o Mediainstitutet;11353;Stockholm;linda.iterum@elevera.org;08-675 07 70;YH02142;Pensioner och försäkringar på svensk arbetsmarknad;Göteborg;Distans;Startat;105;35
ITH, Institutet För Tillämpad Hydraulik;Sörbyvägen 1;Sörbyvägen 1;89161;Örnsköldsvik;ith@ith.se;0660-798 50;YH00350;Hydraulsystemtekniker;Örnsköldsvik;Bunden;Beviljat;20;
ITH, Institutet För Tillämpad Hydraulik;Sörbyvägen 1;Sörbyvägen 1;89161;Örnsköldsvik;ith@ith.se;0660-798 50;YH01585;Hydraultekniker;Örnsköldsvik;Distans;Beviljat;20;
ITH, Institutet För Tillämpad Hydraulik;Sörbyvägen 1;Sörbyvägen 1;89161;Örnsköldsvik;ith@ith.se;0660-798 50;YH01585;Hydraultekniker;Örnsköldsvik;Distans;Startat;20;30
IT-Högskolan Stockholm AB;Trekantsvägen 1;Trekantsvägen 1;11743;Stockholm;info@iths.se;08-55768353;YH00172;Javautvecklare;Stockholm;Bunden;Beviljat;35;
IT-Högskolan Stockholm AB;Trekantsvägen 1;Trekantsvägen 1;11743;Stockholm;info@iths.se;08-55768353;YH00835;IT-projektledare;Liljeholmen;Bunden;Beviljat;30;
IT-Högskolan Stockholm AB;Trekantsvägen 1;Trekantsvägen 1;11743;Stockholm;info@iths.se;08-55768353;YH01042;JavaScript-utvecklare;Liljeholmen;Bunden;Beviljat;35;
IT-Högskolan Stockholm AB;Trekantsvägen 1;Trekantsvägen 1;11743;Stockholm;info@iths.se;08-55768353;YH02030;IT-Säkerhetstestare;Stockholm;Distans;Beviljat;35;
IT-Högskolan Stockholm AB;Trekantsvägen 1;Trekantsvägen 1;11743;Stockholm;info@iths.se;08-55768353;YH02032;Utvecklare inom AI och maskininlärning;Stockholm;Bunden;Beviljat;35;
IT-Högskolan Sverige AB;Ebbe Lieberathsgatan 18C;Ebbe Lieberathsgatan 18C;41265;Göteborg;info@iths.se;031-7904255;YH00174;Javautvecklare;Göteborg;Bunden;Beviljat;35;
IT-Högskolan Sverige AB;Ebbe Lieberathsgatan 18C;Ebbe Lieberathsgatan 18C;41265;Göteborg;info@iths.se;031-7904255;YH00174;Javautvecklare;Göteborg;Distans;Beviljat;35;
IT-Högskolan Sverige AB;Ebbe Lieberathsgatan 18C;Ebbe Lieberathsgatan 18C;41265;Göteborg;info@iths.se;031-7904255;YH00778;Mjukvarutestare med testautomation;Göteborg;Bunden;Beviljat;30;
IT-Högskolan Sverige AB;Ebbe Lieberathsgatan 18C;Ebbe Lieberathsgatan 18C;41265;Göteborg;info@iths.se;031-7904255;YH00805;Frontend-utvecklare;Göteborg;Bunden;Beviljat;35;
IT-Högskolan Sverige AB;Ebbe Lieberathsgatan 18C;Ebbe Lieberathsgatan 18C;41265;Göteborg;info@iths.se;031-7904255;YH00838;JavaScript-utvecklare;Göteborg;Bunden;Beviljat;35;
IT-Högskolan Sverige AB;Ebbe Lieberathsgatan 18C;Ebbe Lieberathsgatan 18C;41265;Göteborg;info@iths.se;031-7904255;YH00873;.NET-utvecklare;Göteborg;Bunden;Beviljat;35;
IT-Högskolan Sverige AB;Ebbe Lieberathsgatan 18C;Ebbe Lieberathsgatan 18C;41265;Göteborg;info@iths.se;031-7904255;YH01178;UX-designer;Göteborg;Bunden;Beviljat;35;
IT-Högskolan Sverige AB;Ebbe Lieberathsgatan 18C;Ebbe Lieberathsgatan 18C;41265;Göteborg;info@iths.se;031-7904255;YH01462;Utvecklare inom AI & Maskininlärning;Göteborg;Bunden;Beviljat;35;
IT-Högskolan Sverige AB;Ebbe Lieberathsgatan 18C;Ebbe Lieberathsgatan 18C;41265;Göteborg;info@iths.se;031-7904255;YH01464;.NET Cloud Developer;Göteborg;Bunden;Beviljat;35;
IT-Högskolan Sverige AB;Ebbe Lieberathsgatan 18C;Ebbe Lieberathsgatan 18C;41265;Göteborg;info@iths.se;031-7904255;YH01709;IT-Säkerhetsspecialist;Göteborg, Stockholm;Bunden;Beviljat;35;
IT-Högskolan Sverige AB;Ebbe Lieberathsgatan 18C;Ebbe Lieberathsgatan 18C;41265;Göteborg;info@iths.se;031-7904255;YH01856;Pythonprogrammering för AI-utveckling;Göteborg;Distans;Startat;0;39
